ClientID,Customer Name,Postcode
1,Fando Healthcare (UK) Limited,SO43 9WE
2,Chatbean Industries UK Limited,BD23 4JE
3,Bluepedia Publishing (UK) Limited,WD3 5TT
4,Dabbuzz Protection (UK) PLC,EH27 7PJ
5,Yaveo Construction (UK) PLC,DL7 5PH
6,Gabpoint Technology PLC,CA10 9PP
7,Bluetype Research Group Limited,CF42 5HA
8,Deminyx Construction (UK) PLC,BH16 8UW
9,Livewire Technology Limited,EX35 6BH
10,Linktune Marketing International Limited,BT12 6HU
11,Kwilith Banking International Limited,TN32 1AA
12,PhotoXS Industries Group Limited,GU34 2WU
13,Chatterbean Services Group Limited,ME17 8TL
14,Realset Insurance International PLC,AB51 3GH
15,Snappath Equipment International Limited,EX22 0FN
16,Topicware Electrical (UK) Limited,BT12 6HN
17,Chatterware Industries International PLC,CO16 3QH
18,Browsepad Services International Limited,BT23 3AF 
19,Zanu Global UK Limited,BT34 6LU
20,Roomm Services UK PLC,BT36 7DR
21,Demixo Computers Limited,WF2 3YU
22,Flashchat Investment (UK) Limited,BS23 3UU
23,Falium Manufacturing UK Limited,NN12 9QA
24,Tagdog Engineering (UK) PLC,SK10 5NS
25,Flashbuzz Telecommunications UK Limited,AB31 6EA
26,Tagdrive Electronics UK Limited,TN15 5BR
27,Bubblebeat Solutions (UK) PLC,BT26 6AB
28,Taglist Engineering UK PLC,AB54 0FG
29,JabberZ International International PLC,NW7 3DW
30,Topfeed International UK Limited,LL65 3WX
31,Skajo Computer Solutions (UK) Limited,NE46 2JW
32,Tagset Minerals International Limited,BT4 3BH
33,Chatbox Services International Limited,BT32 0LN
34,Aginti Manufacturing PLC,BT35 7PD
35,Myspot Technology International Limited,FK20 1ZX
36,Wikimbo Digital PLC,ME13 5TD
37,Digijam Solutions PLC,BT25 6HR
38,Fanyx Foods (UK) Limited,BT38 6HR
39,Quimm Global (UK) Limited,AB31 9JH
40,Kwixo Services Limited,DG8 2DX
41,Yousphere Plastics (UK) PLC,WR10 8BT
42,Buzzlinks Services Group Limited,TQ6 7SY
43,Jabbernation Services (UK) Limited,HU11 7UL
44,Eitz Supplies PLC,OX6 7TS
45,Feedpath Electronics PLC,EC4V 4GF
46,Riffbug Solutions UK Limited,SY17 9UB
47,Leezz Security Services International PLC,BT13 2ES
48,Myzzy Computers (UK) PLC,LL57 1QN
49,Topicjam Services UK Limited,SK11 3TJ
50,Mimm Security Services Group Limited,IP19 7QB
51,Voodel Technology Group PLC,CM8 4TP
52,Blogpedia Global UK PLC,B90 5YU
53,Zalium Manufacturing International PLC,YO1 3ZD
54,Kaba Communications Group Limited,PL30 8TL
55,Quante Healthcare UK Limited,SP5 6SF
56,Thoughtshots Printing Group PLC,DN36 9JY
57,Devbug International International Limited,TN22 1ZY
58,Fagen Global Limited,YO43 5UH
59,Mizu Shipping Services UK Limited,BT40 6HT
60,Rhybox Manufacturing (UK) PLC,HR1 1YB
61,Bluewire International (UK) Limited,SK10 7NS
62,Podware Technology UK Limited,CM12 6XE
63,Avamba Transportation International Limited,LA18 5TY
64,Realworks Telecommunications Limited,BT38 6HU
65,Yakible Software UK Limited,BT29 6TA
66,Plamia Automobiles Limited,BT28 6TA
67,Kwido Manufacturing UK Limited,BA7 0UG
68,Chatpoint Distribution International PLC,PR3 4YU
69,Babblester Training Services UK Limited,LA16 4DY
70,Innocat Development Limited,SS1 6XL
71,Jumptags Financial (UK) Limited,BH4 3LZ
72,Fazz Industrial UK PLC,BT22 1FP
73,Skylane Software Solutions UK PLC,TW10 7RL
74,Realpulse Solutions (UK) PLC,BT34 7DY
75,Kaynyx Software International PLC,BB7 6YF
76,Talium Global (UK) PLC,IV18 0PQ
77,Mylith Engineering Group Limited,BT23 2ES
78,Mymbu Minerals (UK) PLC,RG7 1TU
79,Buzzpoint Manufacturing UK PLC,SA3 8WG
80,Ire Research PLC,TD4 2TL
81,Skylium Manufacturing (UK) Limited,NP1 1RR
82,Ota International Limited,KA1 2QS
83,Abambo Energy (UK) PLC,LL78 1UY
84,Roonu Banking International Limited,S80 5ZH
85,Browsebug Properties PLC,IP5 9SQ
86,Video Investment (UK) PLC,CV37 0SN
87,Zayo Systems UK PLC,TN29 4TU
88,Zoondo Technology UK Limited,TN8 1PZ
89,Brainfeed Solutions UK PLC,CA19 1ZQ
90,Twitterclub Banking Limited,OX6 2PQ
91,Kwindu Equipment UK Limited,S62 2LA
92,Kiveo International International Limited,EH21 5YY
93,Zoomsphere Software (UK) Limited,BT1 1FD
94,Skazzy Solutions International PLC,HR5 5PD
95,Myzzy Manufacturing Group Limited,TR18 2SA
96,Dynazio Printing International PLC,LA20 4WN
97,Youfish Telecomms (UK) Limited,BS24 9WY
98,Digitune Strategic UK Limited,BT51 7AL
99,Truzz Systems Group Limited,DE56 7NA
100,Planoodle Services UK Limited,SK17 4UG
101,Avaxo Industries International PLC,DN22 3ZU
102,Jabbercube International UK PLC,BT22 3BH
103,Divamia Manufacturing PLC,PL19 5FL
104,Chatlinks PR UK PLC,OX8 2FS
105,Riffspot Computer Solutions UK Limited,BT36 9AP
106,Gabcube Solutions UK Limited,BT5 1EE
107,Zamba Construction (UK) Limited,HD7 3AR
108,Brainstorm Manufacturing Limited,NP4 7DE
109,Devpath Technology PLC,BS24 7XW
110,Fiveverse Health UK Limited,SP4 1YW
111,Jabberbeat Technology International PLC,RG24 0ZG
112,Bubbleware Global International PLC,WV5 6FL
113,Pixombo Shipping Services Group PLC,HR3 2AZ
114,Dabify Solutions UK PLC,DN37 7UL
115,Minyx Financial PLC,SK12 1JU
116,Gabfish Manufacturing UK PLC,CB3 6HG
117,Oolith Foods International PLC,WA16 5BT
118,Zooxo Solutions (UK) Limited,SA62 7DX
119,Yomia Electronics UK Limited,TN27 1WW
120,Edgelist Services Group PLC,BT25 6FX
121,Jetopia Services International PLC,BB8 2LA
122,Quando Global (UK) PLC,IV12 0RR
123,Tagtags Electrical International Limited,PR1 8JJ
124,EdgeZ Financial (UK) PLC,IP12 6WP
125,Skiboo Printing PLC,BT39 6HU
126,Dynamia Printing PLC,HR9 8JZ
127,Innovine Communications PLC,MK45 3LY
128,Skadoo Resources UK Limited,SY22 0SZ
129,Abambo Services (UK) PLC,BT10 3AE
130,Babbleblab Resources PLC,BT82 5QA
131,Vimba Services UK PLC,BT32 9AP
132,Jabberify Printing (UK) Limited,NP7 2YN
133,Eambee Leisure (UK) Limited,GU34 3GW
134,Kiloo International UK Limited,BD24 5TD
135,Mitz Global Limited,LL26 7XN
136,Munder Foods (UK) PLC,SG19 3GT
137,Mizio PR UK Limited,EN4 5YH
138,Agizu Telecommunications (UK) PLC,LL54 4FP
139,Mimbo Capital Group Limited,BT36 3LZ
140,Toplinks Supplies (UK) Limited,LL21 2JU
141,Skiplinks Solutions (UK) PLC,BT30 6QH
142,Trimba PR UK Limited,GL20 4DN
143,Dazzlespan Properties PLC,SS3 1QT
144,Roovee Research Limited,PH36 9JU
145,Cogimbo Global International Limited,NE18 5AE
146,Kaymba Solutions International PLC,BT18 6FD
147,Feedbeat Services PLC,SY6 7RZ
148,Skippath Security Services International PLC,LL54 7EB
149,Bluevine Computers Group Limited,IV12 8ZN
150,Layo Healthcare (UK) PLC,NP4 8YE
151,Babblester Global Group PLC,CA8 9AG
152,Ncube Financial International PLC,BA4 6AP
153,Chattertags Computers UK Limited,KY16 4SY
154,Myverse Solutions UK Limited,G83 4BR
155,Bluefeed Strategic International Limited,BT7 3AE
156,Skynte Healthcare PLC,PH26 6JL
157,Buzzlounge Solutions (UK) Limited,EC2M 3QD
158,Browsemix Marketing (UK) Limited,BT6 3BP
159,Topfly Travel Limited,WV10 4PJ
160,Abaxo Leisure Limited,PA34 9QZ
161,Fivetag Resources UK Limited,PH20 3TJ
162,Thoughttags Security Limited,BT16 3PG
163,Gigadog Capital PLC,IP14 5TR
164,Topicpulse Solutions PLC,CF71 3XS
165,Wikinyx Telecomms (UK) PLC,CV23 9SW
166,Jetfeed Electrical UK PLC,BT49 9PX
167,Skyxo Computers International Limited,CW9 3LY
168,Meembo Communications International Limited,IV30 5WB
169,Abando Technology Limited,LE14 9PD
170,Tagspan Minerals PLC,PH8 0FB
171,Ipe International International Limited,PA32 6LF
172,Brainshots Printing UK Limited,PO6 7XE
173,Skipspace Solutions Limited,LE6 8NS
174,Zoombean PR UK PLC,BT35 6AA
175,Dabbird Publications International Limited,AB30 1JR
176,Toppad Systems International Limited,LD2 6JQ
177,Skynte Development UK Limited,LD1 1SS
178,Riffpad PR (UK) PLC,TS21 4JH
179,Bluestorm International (UK) PLC,SY23 0BZ
180,Devbird Services Limited,SN10 9ZY
181,Kwido Security Services PLC,BA14 0RD
182,Browseshare Services Limited,IV27 1NZ
183,Centilium Services (UK) PLC,KA6 6XP
184,Agimba Leisure International Limited,CW4 1NP
185,GabZ Transportation (UK) Limited,BH20 1XT
186,Mizzy Banking International PLC,LL75 0HW
187,Zoozu Construction Group Limited,LL24 4UU
188,TagZ Construction PLC,IP20 6SW
189,Jabberfeed Energy International PLC,BT17 2DE
190,Twitterverse Technology International Limited,BT9 2ES
191,Chatterbean Manufacturing UK Limited,BT10 6HU
192,Edgenation Financial UK Limited,SY14 9UJ
193,Quidoo International PLC,KY12 4WJ
194,Divazu Financial International PLC,ST18 1BQ
195,Livezoom Healthcare (UK) PLC,SY4 4FT
196,Tacero Telecommunications (UK) PLC,DN9 7NJ
197,Jetbuzz Research UK PLC,LL32 3DF
198,Myzz Solutions UK PLC,DG10 1WR
199,Trutri Protection PLC,BT30 8BA
200,Rootri Software (UK) Limited,LA22 9TX
201,Voozio Minerals (UK) PLC,NN13 7YD
202,FlipXS Financial Group Limited,RH6 2WP
203,Chatzone Financial International PLC,OX7 3PG
204,Dabnation Securities Limited,HP18 2AN
205,Babblezoom Systems International PLC,NP6 1NL
206,Kaydeo Solutions (UK) Limited,SK17 7ZJ
207,Jetspace Holdings (UK) Limited,AB41 3SW
208,Jumpfire Transportation International Limited,YO12 1HW
209,Zanoodle Global (UK) PLC,CA10 8LY
210,Podnation Services Limited,L64 7HU
211,Wordfeed Solutions International Limited,B94 6RX
212,Linktag International International Limited,ML12 9ZS
213,Ainyx Automobiles (UK) Limited,EX10 0NB
214,Gabdog Travel (UK) PLC,DD8 0BF
215,Fado Supplies Group PLC,SK17 8BE
216,Oobox Financial PLC,DE74 8ZG
217,Topshare Solutions International PLC,SO42 5AU
218,Mumia Publications (UK) PLC,LA17 7LP
219,Flashdog Computer Solutions International Limited,HP18 0PU
220,Twizio Health International PLC,CW5 5ZR
221,Jabberset Financial UK Limited,BT26 6GJ
222,Yondo Foods (UK) PLC,AB51 2WT
223,Browsepoint Foods (UK) Limited,WF9 3FG
224,Agita International International PLC,WA4 9YF
225,Yakitz Travel UK PLC,DE12 9RR
226,Mypad Solutions (UK) PLC,LA2 3RD
227,Riffpedia Technology (UK) Limited,SY5 6WA
228,Kwiveo Financial International Limited,SK17 5B3
229,Podster Construction Group Limited,G63 0GN
230,Tanu Equipment (UK) PLC,OX7 9SY
231,Tava Software Limited,CW8 1JW
232,Vinte Global (UK) Limited,PL27 2DQ
233,Blogcube Media UK Limited,BT6 6EB
234,Thoughttube Manufacturing UK Limited,BD23 6WF
235,Riffbean Software International PLC,PL17 8AQ
236,Devlinks Development (UK) PLC,HG3 9YW
237,Skiplist Securities Limited,BT30 7PD
238,Centindu Distribution International PLC,IP30 8ZA
239,Youtune Software Solutions Limited,SK17 0NN
240,Centimba Services International PLC,CM6 4AW
241,Fivespan Digital (UK) PLC,B60 7BQ
242,Devclub Technology UK Limited,RG7 6WZ
243,Trulane Energy International Limited,OL12 1QA
244,Javeo International (UK) PLC,SP7 0ET
245,Fliptune Solutions PLC,SA32 9HL
246,Innospot Construction UK Limited,IP20 6DA
247,Shufflespot Manufacturing International Limited,LN6 6AJ
248,Mycero Solutions (UK) PLC,SA71 9QZ
249,Zander Transportation International PLC,EX18 1NQ
250,Truva Research Limited,GU27 1PR
251,Buzztune Financial Limited,SY7 4AZ
252,Skalium Insurance International Limited,YO32 9SY
253,Yakidel Technology PLC,PH22 0NT
254,Kipe Securities (UK) PLC,BT28 9AH
255,Fivebird Healthcare (UK) Limited,DT6 5WY
256,Kwita Industrial (UK) Limited,BT34 6FB
257,Bluelounge Global (UK) PLC,SA12 1FN
258,Flipdog Publications International Limited,NP20 3QN
259,Quinix Services International Limited,CO3 8HJ
260,Mybug Global Group Limited,HG3 8BY
261,Zavee Manufacturing UK Limited,CV5 8PT
262,Thoughtlinks Financial Limited,SK10 9YY
263,Jumppoint Travel PLC,ME18 6UA
264,Quibox Healthcare International PLC,OX33 1WQ
265,Skyva International (UK) Limited,SO40 0ZH
266,Voolith Technology International PLC,WA7 6YH
267,Olium Holdings International Limited,RH2 0YQ
268,Brightbox Financial PLC,BT33 6AG
269,Topfish Health (UK) PLC,BN1 9BF
270,Chatfire Electrical UK Limited,IP14 8UG
271,Jaxchat Protection (UK) PLC,CB2 2PP
272,Chatterpath Supplies Group Limited,YO8 0JU
273,Muvee Services UK PLC,DN38 9TP
274,Mire Health International Limited,CF3 3HD
275,Quare Services International PLC,YO25 2LS
276,Buzzbird Global International Limited,NP7 2AE
277,Buzzsphere Healthcare UK Limited,EX2 7WU
278,Pixonder Strategic UK Limited,CF62 0UN
279,Bubblewire Publications Limited,PA29 3TA
280,Linkbug Services PLC,NE48 7GR
281,Topictube Systems UK PLC,DD8 1UY
282,Jabbercast Services (UK) Limited,SM7 8LU
283,Wikiloo Software Solutions International PLC,LE4 8QN
284,Fivetags Health UK Limited,BT35 8EA
285,Feedpath Equipment Limited,HU12 3JB
286,Skyxo Foods (UK) Limited,ME3 2ZQ
287,Chatterpad International (UK) Limited,SA48 7EP
288,Skaxo Travel UK PLC,LA2 3HE
289,Kava Leisure PLC,SA13 4QH
290,Quinu Insurance International Limited,BT26 6LU
291,Falane Financial Limited,RH13 8SL
292,Pixota Manufacturing International PLC,IV23 2PR
293,Podshots Leisure (UK) Limited,ST21 2BU
294,Vicero Services Group Limited,B63 9TU
295,Tritri Systems UK PLC,AB35 7YT
296,Trulium Publications (UK) PLC,BT13 3NE
297,Browsezoom Technology UK Limited,AB54 8SW
298,Divander Energy (UK) PLC,S65 3XU
299,Centidoo Foods International Limited,AB35 0LD
300,Dabvine Telecomms UK PLC,AB3 2AX
301,Mulium Computers UK Limited,DG13 6GS
302,Blueopia Financial UK Limited,SO24 6LA
303,Ahmed Greenwood Marketing International Limited,EX14 7AT
304,Rose Garner Automobiles (UK) Limited,CV35 8RR
305,Dixon Power Global Group PLC,SG18 1QU
306,Lynch Summers Health UK Limited,WC1A 9GA
307,Stevens Foster Communications International PLC,IV25 8LX
308,Miles Sheppard Services (UK) PLC,SA1 0UT
309,Lord Foster Printing UK PLC,DL13 4RX
310,Matthews Hudson Investment (UK) PLC,BT6 2AB
311,Joyce Wells Automobiles PLC,BT39 9QZ
312,Iqbal Fry International UK Limited,GL54 4QU
313,Schofield Jackson Shipping Services UK Limited,RM8 0SQ
314,Robinson Watts Financial UK Limited,BD13 5TS
315,Ashton Weston Healthcare International Limited,DN6 2ZH
316,Hudson Cameron Solutions PLC,NG12 1XJ
317,Grant Brady Security UK Limited,LL16 4LG
318,Leach Parker Media Group Limited,EH42 6NZ
319,Naylor Bentley Capital International PLC,BT28 6HU
320,Holland Parkes Development UK Limited,HR6 9TW
321,Hamilton Hayes Telecomms Limited,TS21 2NE
322,Cartwright Holloway Travel International PLC,IV17 0JZ
323,Talbot Ali Services International Limited,PL10 5ZA
324,Hall Bull Global (UK) Limited,AB51 9TB
325,Giles Baldwin Solutions Limited,PA73 4WG
326,Pratt Gibbons Securities UK PLC,SA1 2HR
327,Lyons Lord Solutions (UK) PLC,NE65 5NJ
328,Carey Bradley Solutions Group PLC,BT24 8BD
329,Ross Robinson Investment Limited,LL57 7XU
330,Stevenson French Telecomms Limited,PO33 0FF
331,Morgan Craig Public Relations Limited,PO33 1RX
332,Rowe Bradley Manufacturing Group Limited,BT8 1LY
333,Norton Fuller Energy PLC,HU15 7RD
334,Planet Profit Limited,AB42 4GP
335,Roadhouse Grill Limited,OX2 5UP
336,Tam's Stationers Limited,CA11 3TB
337,Museum Company Limited,LA12 8NL
338,Payless Cashways PLC,CO6 7UG
339,Tape World PLC,ST21 1BU
340,Golden's Distributors PLC,BH25 9EG
341,Franklin Simon Limited,EX9 1UF
342,Mikrotechnic Limited,DL8 0QH
343,Body Fate Limited,BT29 6AH
344,Pay 'N Pak Limited,PA27 3YF
345,Creative Wealth,PA43 5GE
346,W. Bell & Co.,TF13 5YQ
347,Strength Gurus,PA12 7EW
348,Turtle's Records & Tapes Limited,LA12 1YN
349,Friendly Advice Limited,DG7 3XQ
350,Parts America UK Limited,G65 1HU
351,Cala Foods Limited,TF9 7WU
352,American Wholesale Club Limited,EX17 3AB
353,Bennett Brothers Limited,BT26 6AB
354,Edwards Limited,SY18 7UE
355,Gas Legion Limited,ST10 6GA
356,Liberal Ltd.,AB52 8RL
357,G.I. Joe's Ltd.,DL2 7AE
358,HomeBase Ltd.,LE8 8UA
359,W. Bell & Co. Limited,WN4 5PE
360,Thrift Auto Parts,B96 4EW
361,Desert Garden Help,CT4 5GB
362,Poore Simon's Limited,LN9 3RS
363,Bennett Brothers Limited,IP22 4EX
364,Play Town Limited,KW8 1LP
365,Wild Oats Markets Limited,S72 0WF
366,Kinney Shoes PLC,TA11 0GG
367,Crazy Tiger PLC,RG19 0RS
368,Showbiz Pizza Place PLC,TF6 4BY
369,Las Vegas Yard Management Limited,CM16 7WS
370,Music Plus Limited,DE6 3HF
371,Franklin Music Limited,AB30 9XJ
372,Allied Radio Limited,SY21 3HF
373,Quality Realty Service,LE15 8NN
374,Furrow's,CB2 4SX
375,Sports Town USA,LA10 7ZU
376,Naugles Limited,BT15 7LZ
377,Hudson's MensWear Limited,NP5 6SA
378,Liberty Wealth Planner UK Limited,LE14 2UB
379,Eli Moore Inc Limited,LE14 7FE
380,National Tea Limited,WN4 2AL
381,Rose Records Limited,AB2 0ND
382,John M. Smyth's Homemakers Limited,SA63 2ZQ
383,G.I. Joe's Limited,TR13 7RL
384,Honest Air Group Ltd.,RG9 3GR
385,Oranges Records & Tapes Ltd.,B90 3DG
386,Millenia Life Ltd.,BT21 0BG
387,Giant Open Air Limited,BA13 9HG
388,Omni Realty,CF4 2QD
389,Johnson's General Stores,LL48 0SJ
390,Turtle's Records & Tapes Limited,SY22 3DU
391,Boston Sea Party Limited,EX22 7WZ
392,Endicott Shoes Limited,GU27 2UB
393,Gas Zone Limited,TN18 4LB
394,Gamma Realty PLC,NN11 1AZ
395,Realty Solution PLC,B78 5WB
396,Gene Walter's Marketplace PLC,IP13 8DH
397,Old America Stores Limited,CW6 1TL
398,Peter Reeves Limited,NG33 6TR
399,Steak and Ale Limited,BT3 1QR
400,Sofa Express Limited,S75 2BF
401,Enrich Garden Services,CM3 3FN
402,Giant Stuff Ltd,SA10 9UP
403,Cherry & Webb,S74 6FX
404,Pay 'N Pak Limited,LL53 9YQ
405,Integra Wealth Planners Limited,HP27 3UY
406,Earthworks Yard Maintenance UK Limited,IV27 3TP
407,Galyan's Limited,AB53 2DJ
408,HomeBase Limited,BT19 3BH
409,Magik Gray Limited,IV36 3ZR
410,Casual Corner Limited,DD8 5HD
411,Merrymaking Limited,DY9 7HH
412,Exact Realty Ltd.,DE56 8XT
413,Avant Garde Appraisal Group Ltd.,TA4 9WS
414,On Cue Ltd.,EH39 1QE
415,Pacific Stereo Limited,S42 7WW
416,A+ Electronics,G32 0XT
417,The Wiz,TF9 7YF
418,Adaptas Limited,IP13 8YY
419,Corpbay Limited,LN2 0EN
420,Independent Investors Limited,SA32 0GR
421,Schucks Auto Supply Limited,EH4 2GU
422,Bell Markets PLC,EX16 3TQ
423,Twinu Insurance Limited,PR6 2NW
424,Marseau Litchfield Transportation (UK) PLC,DG5 3PY
425,Stephens Norton PR UK Limited,TR25 0FQ
426,Sanders Topstorm Solutions (UK) Limited,LE9 6SS
427,Hughes Hayes Technology UK Limited,DN20 9RJ
428,Cameron James Publishing PLC,BT17 6HT
429,Weston Wallis Healthcare UK PLC,PH33 8XH
430,Turner Centilium Financial (UK) Limited,CO6 4FY
431,Morton Potter Financial (UK) Limited,HR4 5EJ
432,Brown Kaur Security International PLC,CM1 4UA
433,Herbert Holdings UK Limited,IV3 9SW
434,Fraser Reynolds Software Solutions Limited,CB8 9LA
435,Oquendo Fletcher Security Services (UK) Limited,RG8 3GY
436,Conway Lane Security Services UK Limited,DD8 9ZL
437,Kelly Martin Solutions UK Limited,LE15 9LH
438,Campbell Thornton Solutions (UK) PLC,LE16 7YS
439,Cano Cantwell Plastics Limited,TD14 0YJ
440,Parker Electronics UK PLC,CV37 4RE
441,Avare Solutions Limited,DN9 4JD
442,Planyx Services UK Limited,TA19 5GS
443,Racicot Robinson Software Solutions (UK) PLC,KW8 2NR
444,Rice Bishop Construction UK PLC,SN15 3UA
445,Skytri Technology Group PLC,NE44 3RT
446,Cuellar Steele Industrial UK PLC,LL20 3AZ
447,Nash Hamilton Technology UK PLC,NG34 6ZQ
448,Flynn Skiplinks Global PLC,NE15 5QG
449,Devverse Solutions Limited,RG20 4PR
450,Russell Swift Financial (UK) Limited,LS17 6AD
451,Harding Vincent Capital Limited,SG9 1BH
452,Buckley Aizio Resources (UK) PLC,PR3 1NW
453,Bray Dynambu Healthcare UK Limited,WR11 7JS
454,Devjam International (UK) Limited,SP6 9NJ
455,Agimm Global (UK) Limited,SN14 2LX
456,Oxo Media UK Limited,WD3 8AF
457,Power Lamb International UK Limited,TN15 1YT
458,Crawford Dawson International (UK) Limited,PR5 9ZD
459,Fisher Shaw Security Services International Limited,SA62 4DY
460,Reeves Walters Global Limited,DT2 5AH
461,Khan Owens Engineering UK Limited,SS4 2DT
462,White Thoughtmix Manufacturing UK Limited,SR8 1ZP
463,Walsh Kando Supplies UK PLC,IV14 4TJ
464,Marsden BlueXS Financial UK Limited,RH20 0RY
465,Wells Nash International PLC,SP5 6ND
466,White Gablinks Software Solutions International Limited,TD15 9YT
467,Newton Fletcher Solutions (UK) PLC,IV20 2DZ
468,Hartley Technology International PLC,TN27 6ZQ
